Driver/sales workers and truck drivers,3551,72.4,20.5,3.5,24.1
Shuttle drivers and chauffeurs,78,55.9,30.0,9.6,14.2
Taxi drivers,456,52.5,24.9,19.5,23.9
Motor vehicle operators all other,212,61.9,27.4,4.9,19.1
Locomotive engineers and operators,44,-,-,-,-
Railroad conductors and yardmasters,48,-,-,-,-
Other rail transportation workers,24,-,-,-,-
Sailors and marine oilers,17,-,-,-,-
Ship and boat captains and operators,42,-,-,-,-
Ship engineers,1,-,-,-,-
Parking attendants,61,66.6,22.6,9.3,41.8
Transportation service attendants,79,76.8,12.2,1.2,18.5
Transportation inspectors,35,-,-,-,-
Passenger attendants,26,-,-,-,-
Other transportation workers,36,-,-,-,-
Crane and tower operators,60,88.5,9.0,0.4,20.3
Conveyor dredge and hoist and winch operators,37,-,-,-,-
Industrial truck and tractor operators,629,68.2,24.6,1.9,31.1
Cleaners of vehicles and equipment,401,73.2,19.7,3.3,33.5
Laborers and freight stock and material movers hand,2090,72.2,19.3,2.7,27.1
Machine feeders and offbearers,30,-,-,-,-
Packers and packagers hand,690,61.8,25.8,6.3,35.3
Stockers and order fillers,1640,74.7,15.5,4.8,23.6
Pumping station operators,21,-,-,-,-
Refuse and recyclable material collectors,112,79.2,17.1,0.3,33.7
Other material moving workers,55,86.8,10.3,0.4,18.7
